"","loser_name","match_dat","winner_name","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","W_First Service % ","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","L_First Service % ","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","seq","sentiment_mean.winner","sentiment_twitter.winner","sentiment_instagram.winner","sentiment_mean.loser","sentiment_twitter.loser","sentiment_instagram.loser"
"773","Roberta Vinci",2017-08-29,"Sloane Stephens","2017-560","Us Open","Hard",128,"G",2017-08-27,154,201585,"R",170,"USA",24.4407939767,83,711,201311,"R",163,"ITA",34.5242984257,47,1181,"7-5 6-1",3,"R128",81,2,2,0.507042253521127,71,36,24,18,0,5,7,0,1,0.618181818181818,55,34,20,8,0,1,6,55,0,0,NA,NA,NA,NA
"774","Sachia Vickery",2018-03-07,"Naomi Osaka","2018-M006","Indian Wells","Hard",128,"PM",2018-03-04,281,211768,"R",NA,"JPN",20.3832991102,44,1170,203500,"R",NA,"USA",22.81724846,100,629,"6-3 6-3",3,"R32",81,1,1,0.60655737704918,61,37,23,15,9,3,5,1,6,0.460526315789474,76,35,22,16,9,8,13,76,NA,NA,NA,NA,NA,NA
"775","Sachia Vickery",2018-06-11,"Naomi Osaka","2018-1080","Nottingham","Grass",32,"I",2018-06-10,281,211768,"R",NA,"JPN",20.6516084873,18,2270,203500,"R",NA,"USA",23.0855578371,82,787,"3-6 6-1 6-2",3,"R32",112,3,2,0.581395348837209,86,50,35,15,12,6,9,1,6,0.55,100,55,25,25,12,6,12,12,NA,NA,NA,NA,NA,NA
"776","Sachia Vickery",2018-06-25,"Aryna Sabalenka","2018-M016","Eastbourne","Grass",64,"P",2018-06-24,244,214544,"U",NA,"BLR",20.1396303901,45,1145,203500,"R",NA,"USA",23.1238877481,82,783,"4-6 6-0 6-1",3,"R64",83,2,2,0.65625,64,42,30,11,12,2,5,0,7,0.506666666666667,75,38,20,12,11,6,13,4,NA,NA,NA,NA,NA,NA
"777","Sachia Vickery",2018-08-27,"Elina Svitolina","2018-560","US Open","Hard",128,"G",2018-08-26,131,202494,"R",174,"UKR",23.9561943874,7,4555,203500,"R",NA,"USA",23.2963723477,78,823,"6-3 1-6 6-1",3,"R128",92,2,4,0.726190476190476,84,61,42,9,12,6,9,1,5,0.544117647058823,68,37,22,17,11,3,7,32,0.163461538461538,0.0769230769230769,0.25,NA,NA,NA
"778","Saisai Zheng",2017-02-22,"Elina Svitolina","2017-0718","Dubai","Hard",64,"I",2017-02-19,278,202494,"R",174,"UKR",22.4421629021,13,3050,202453,"R",NA,"CHN",23.0417522245,95,663,"7-5 6-1",3,"R32",69,3,2,0.653846153846154,52,34,24,6,9,3,6,0,1,0.642857142857143,56,36,17,6,10,3,10,33,NA,NA,NA,NA,NA,NA
"779","Saisai Zheng",2017-05-30,"Karolina Pliskova","2017-520","Roland Garros","Clay",128,"G",2017-05-28,163,201662,"R",184,"CZE",25.1882272416,3,6100,202453,"R",NA,"CHN",23.3100616016,67,930,"7-5 6-2",3,"R128",80,0,1,0.603448275862069,58,35,24,11,0,0,3,0,1,0.791044776119403,67,53,24,8,0,2,8,64,NA,NA,NA,NA,NA,NA
"780","Saisai Zheng",2018-07-04,"Simona Halep","2018-540","Wimbledon","Grass",128,"G",2018-07-01,164,201594,"R",168,"ROU",26.7624914442,1,7871,202453,"R",NA,"CHN",24.4024640657,126,485,"7-5 6-0",3,"R64",76,1,2,0.666666666666667,48,32,24,7,9,2,4,0,0,0.724137931034483,58,42,18,7,9,5,11,65,NA,NA,NA,NA,NA,NA
"781","Saisai Zheng",2018-10-04,"Sloane Stephens","2018-M015","Beijing","Hard",64,"PM",2018-09-30,283,201585,"R",170,"USA",25.5331964408,9,3912,202453,"R",NA,"CHN",24.6516084873,63,931,"6-1 6-3",3,"R32",82,1,1,0.716981132075472,53,38,27,8,8,1,2,1,2,0.619047619047619,63,39,20,10,8,7,12,43,NA,NA,NA,NA,NA,NA
"782","Samantha Stosur",2017-03-23,"Simona Halep","2017-M007","Miami","Hard",128,"P",2017-03-19,291,201594,"R",168,"ROU",25.4784394251,5,5022,201325,"R",172,"AUS",32.9719370294,19,2010,"4-6 7-5 6-2",3,"R16",130,1,3,0.653061224489796,98,64,45,10,15,5,10,4,4,0.688172043010753,93,64,42,6,15,6,13,86,NA,NA,NA,NA,NA,NA
"783","Samantha Stosur",2017-05-12,"Simona Halep","2017-M021","Madrid","Clay",64,"P",2017-05-07,288,201594,"R",168,"ROU",25.6125941136,8,4206,201325,"R",172,"AUS",33.106091718,26,1665,"6-4 4-6 6-4",3,"R16",111,1,2,0.75,84,63,48,11,15,3,5,3,1,0.709302325581395,86,61,42,13,15,0,3,51,NA,NA,NA,NA,NA,NA
"784","Samantha Stosur",2018-02-14,"Angelique Kerber","2018-1003","Doha","Hard",64,"P",2018-02-11,282,201493,"L",173,"GER",30.0698151951,9,3031,201325,"R",172,"AUS",33.8726899384,44,1206,"6-4 6-1",3,"R32",59,1,2,0.775,40,31,23,6,8,1,2,1,2,0.66,50,33,18,6,9,3,8,37,NA,NA,NA,NA,NA,NA
"785","Samantha Stosur",2018-05-10,"Sloane Stephens","2018-M021","Madrid","Clay",64,"PM",2018-05-06,283,201585,"R",170,"USA",25.1307323751,9,3939,201325,"R",172,"AUS",34.1026694045,57,1022,"6-1 6-3",3,"R32",74,1,0,0.880952380952381,42,37,29,3,8,0,0,2,3,0.651515151515151,66,43,26,7,8,9,13,46,-0.666666666666667,NA,-0.666666666666667,NA,NA,NA
"786","Samantha Stosur",2018-08-20,"Aryna Sabalenka","2018-0602","New Haven","Hard",32,"P",2018-08-19,283,214544,"U",NA,"BLR",20.2929500342,25,1730,201325,"R",172,"AUS",34.3901437372,64,880,"6-3 6-2",3,"R32",71,8,5,0.614035087719298,57,35,28,12,9,2,2,3,3,0.566037735849057,53,30,21,8,8,1,4,13,NA,NA,NA,NA,NA,NA
"787","Samantha Stosur",2018-10-01,"Karolina Pliskova","2018-M015","Beijing","Hard",64,"PM",2018-09-30,253,201662,"R",184,"CZE",26.5297741273,7,4345,201325,"R",172,"AUS",34.5051334702,67,890,"6-4 6-4",3,"R64",86,6,4,0.571428571428571,70,40,28,15,10,7,9,2,3,0.540983606557377,61,33,22,10,10,2,6,13,NA,NA,NA,NA,NA,NA
"788","Sara Errani",2017-10-13,"Aryna Sabalenka","2017-1076","Tianjin","Hard",32,"I",2017-10-08,298,214544,"U",NA,"BLR",19.4305270363,102,614,201506,"R",164,"ITA",30.4476386037,280,183,"6-1 6-3",3,"SF",58,10,4,0.615384615384615,52,32,22,8,8,1,4,0,0,0.775510204081633,49,38,11,5,8,0,7,29,NA,NA,NA,NA,NA,NA
"789","Sara Errani",2018-02-20,"Angelique Kerber","2018-0718","Dubai","Hard",32,"P",2018-02-18,290,201493,"L",173,"GER",30.0889801506,9,3220,201506,"R",164,"ITA",30.8117727584,143,414,"6-4 6-2",3,"R16",64,3,2,0.666666666666667,48,32,22,8,9,2,4,0,1,0.854166666666667,48,41,23,2,9,0,5,17,NA,NA,NA,NA,NA,NA
"790","Sara Sorribes Tormo",2017-01-16,"Karolina Pliskova","2017-580","Australian Open","Hard",128,"G",2017-01-15,132,201662,"R",184,"CZE",24.8240930869,5,4970,204427,"R",NA,"ESP",20.2737850787,106,609,"6-2 6-0",3,"R128",60,5,3,0.5,38,19,16,9,7,0,1,2,6,0.625,48,30,15,3,7,5,11,33,NA,NA,NA,NA,NA,NA
"791","Sara Sorribes Tormo",2017-07-03,"Naomi Osaka","2017-540","Wimbledon","Grass",128,"G",2017-07-02,137,211768,"R",NA,"JPN",19.7125256674,59,1025,204427,"R",NA,"ESP",20.733744011,100,635,"6-3 7-6(3)",3,"R128",113,3,1,0.684782608695652,92,63,43,15,0,6,7,0,7,0.527777777777778,72,38,27,16,0,2,4,38,0.4,0.4,NA,NA,NA,NA
"792","Sara Sorribes Tormo",2017-07-21,"Kiki Bertens","2017-1094","Gstaad","Clay",32,"I",2017-07-16,298,202428,"R",182,"NED",25.6016427105,35,1386,204427,"R",NA,"ESP",20.772073922,97,630,"6-1 0-0 RET",3,"SF",38,1,0,0.636363636363636,22,14,12,5,4,2,2,0,4,0.692307692307692,26,18,10,2,3,6,8,29,NA,NA,NA,NA,NA,NA
"793","Serena Williams",2017-01-04,"Madison Brengle","2017-1049","Auckland","Hard",32,"I",2017-01-01,293,201483,"R",NA,"USA",26.7515400411,72,870,200033,"R",175,"USA",35.2689938398,2,7050,"6-4 6-7(3) 6-4",3,"R16",133,0,4,0.71304347826087,115,82,55,17,16,10,12,9,4,0.621052631578947,95,59,44,17,16,4,8,24,NA,NA,NA,0,0,0
"794","Serena Williams",2018-03-07,"Venus Williams","2018-M006","Indian Wells","Hard",128,"PM",2018-03-04,277,200748,"R",185,"USA",37.7138945927,8,4277,200033,"R",175,"USA",36.4380561259,NA,NA,"6-3 6-4",3,"R32",86,6,8,0.569444444444444,72,41,28,16,10,3,5,4,3,0.491803278688525,61,30,16,15,9,4,8,72,NA,NA,NA,0.0631345926800472,-0.0357142857142857,0.16198347107438
"795","Serena Williams",2018-03-18,"Naomi Osaka","2018-M007","Miami","Hard",128,"PM",2018-03-18,191,211768,"R",NA,"JPN",20.4216290212,22,2105,200033,"R",175,"USA",36.476386037,491,65,"6-3 6-2",3,"R128",77,7,3,0.634920634920635,63,40,31,10,8,2,2,3,5,0.527272727272727,55,29,22,8,9,4,8,9,2.175,0.35,4,NA,NA,NA
"796","Serena Williams",2018-06-03,"Maria Sharapova","2018-520","Roland Garros","Clay",128,"G",2018-05-27,215,201345,"R",NA,"RUS",31.1074606434,30,1513,200033,"R",175,"USA",36.6680355921,451,75,"W/O",3,"R16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,0,0,NA
"797","Serena Williams",2018-07-15,"Angelique Kerber","2018-540","Wimbledon","Grass",128,"G",2018-07-01,226,201493,"L",173,"GER",30.4531143053,10,3545,200033,"R",175,"USA",36.7638603696,181,315,"6-3 6-3",3,"F",65,1,1,0.66,50,33,23,10,9,0,1,4,2,0.745098039215686,51,38,24,4,9,3,7,127,0.125,0.25,0,-0.272727272727273,NA,-0.272727272727273
"798","Serena Williams",2018-07-29,"Johanna Konta","2018-0703","San Jose","Hard",32,"P",2018-07-29,277,202427,"R",NA,"GBR",27.2032854209,48,1156,200033,"R",175,"USA",36.8405201916,26,1615,"6-1 6-0",3,"R32",51,6,2,0.648648648648649,37,24,20,6,6,0,0,3,7,0.395348837209302,43,17,9,7,7,2,8,6,NA,NA,NA,0.4,NA,0.4
"799","Serena Williams",2018-08-15,"Petra Kvitova","2018-M024","Cincinnati","Hard",64,"PM",2018-08-12,277,201520,"L",183,"CZE",28.4325804244,6,4550,200033,"R",175,"USA",36.8788501027,27,1616,"6-3 2-6 6-3",3,"R32",118,8,3,0.583333333333333,84,49,33,22,13,4,7,7,5,0.608695652173913,92,56,38,16,13,6,10,32,0.108695652173913,0.217391304347826,0,NA,NA,NA
"800","Serena Williams",2018-09-09,"Naomi Osaka","2018-560","US Open","Hard",128,"G",2018-08-26,226,211768,"R",NA,"JPN",20.8624229979,19,2245,200033,"R",175,"USA",36.9171800137,26,1676,"6-2 6-4",3,"F",79,6,1,0.727272727272727,55,40,29,6,8,5,6,3,6,0.545454545454545,55,30,19,11,9,1,5,127,0.499183006535948,0.470588235294118,0.527777777777778,0.333333333333333,NA,0.333333333333333
"801","Shelby Rogers",2017-01-04,"Elina Svitolina","2017-M020","Brisbane","Hard",32,"I",2017-01-01,292,202494,"R",174,"UKR",22.3080082136,14,2895,201603,"R",NA,"USA",24.2217659138,59,977,"7-5 2-6 7-5",3,"R16",141,4,3,0.549450549450549,91,50,32,20,16,3,9,3,3,0.59,100,59,34,19,16,5,11,21,NA,NA,NA,NA,NA,NA
"802","Shelby Rogers",2017-03-22,"Angelique Kerber","2017-M007","Miami","Hard",128,"P",2017-03-19,285,201493,"L",173,"GER",29.1690622861,1,7515,201603,"R",NA,"USA",24.4325804244,61,939,"6-4 7-5",3,"R32",89,0,3,0.622950819672131,61,38,24,13,11,1,4,2,3,0.597402597402597,77,46,27,13,11,7,12,80,0.734307359307359,0.55952380952381,0.909090909090909,NA,NA,NA
"803","Shelby Rogers",2017-07-07,"Angelique Kerber","2017-540","Wimbledon","Grass",128,"G",2017-07-02,196,201493,"L",173,"GER",29.4565366188,1,7035,201603,"R",NA,"USA",24.720054757,70,858,"4-6 7-6(2) 6-4",3,"R32",136,1,4,0.678899082568807,109,74,49,18,0,5,8,6,2,0.590909090909091,110,65,45,22,0,8,11,97,0.639705882352941,0.529411764705882,0.75,NA,NA,NA
